epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,13215.1,0.99082,0.95223,1.2566,0.76936,0.72092,0.7834,0.54407,1.2054,0.97302,1.56115,0.0068914,0.0068914,0.0068914
159,13299,0.99041,0.93007,1.25248,0.76161,0.72269,0.78438,0.54409,1.20399,0.97238,1.56081,0.0068716,0.0068716,0.0068716
160,13382.6,0.99371,0.942,1.25168,0.759,0.72549,0.78547,0.5433,1.20482,0.97046,1.56222,0.0068518,0.0068518,0.0068518
161,13465.9,0.99242,0.93457,1.25606,0.76205,0.72625,0.78555,0.5413,1.20462,0.97061,1.56201,0.006832,0.006832,0.006832
162,13549.7,0.98161,0.92684,1.24516,0.76594,0.72425,0.78655,0.54228,1.20452,0.97047,1.56185,0.0068122,0.0068122,0.0068122
163,13633.3,0.99105,0.93337,1.24955,0.76626,0.72487,0.78562,0.54235,1.20434,0.9715,1.5614,0.0067924,0.0067924,0.0067924
164,13717.5,0.9889,0.93225,1.25431,0.76357,0.72658,0.78542,0.54266,1.20567,0.97142,1.56305,0.0067726,0.0067726,0.0067726
165,13801.1,0.97943,0.91932,1.24849,0.75944,0.72753,0.7853,0.54337,1.2046,0.97154,1.56221,0.0067528,0.0067528,0.0067528
166,13884.9,0.98545,0.91252,1.2525,0.75872,0.7261,0.78569,0.54366,1.20723,0.97194,1.56464,0.006733,0.006733,0.006733
167,13968.3,0.98244,0.92247,1.25029,0.75849,0.72484,0.78533,0.54235,1.20886,0.97135,1.56672,0.0067132,0.0067132,0.0067132
168,14051.4,0.98854,0.9262,1.25423,0.75965,0.72214,0.78591,0.54239,1.20887,0.97188,1.56717,0.0066934,0.0066934,0.0066934
169,14134.9,0.98363,0.89932,1.24467,0.75948,0.72672,0.78688,0.54272,1.20878,0.97199,1.56713,0.0066736,0.0066736,0.0066736
170,14219.5,0.96939,0.91499,1.23932,0.76293,0.72984,0.78818,0.54378,1.20938,0.97142,1.56854,0.0066538,0.0066538,0.0066538
171,14303.1,0.98271,0.92009,1.24747,0.76072,0.72983,0.78787,0.54324,1.20983,0.97114,1.5695,0.006634,0.006634,0.006634
172,14386.6,0.98278,0.92025,1.24708,0.75817,0.73215,0.78859,0.5441,1.21159,0.96928,1.57131,0.0066142,0.0066142,0.0066142
173,14470.2,0.97504,0.90242,1.24209,0.76156,0.73422,0.78987,0.54295,1.21074,0.96833,1.57084,0.0065944,0.0065944,0.0065944
